n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,100,False,decay=0.99,20020,0.86,7.5426320179871205
10,100,False,decay=0.99,20021,0.83,9.259377636481888
10,100,False,decay=0.99,20022,0.77,3.083133113504344
10,100,False,decay=0.99,20023,0.87,5.864246752472196
10,100,False,decay=0.99,20024,0.92,1.6674793255067448
10,100,False,decay=0.99,20025,0.7,5.873550673722351
10,100,False,decay=0.99,20026,0.8,12.849505173150037
10,100,False,decay=0.99,20027,0.34,12.642063110690174
10,100,False,decay=0.99,20028,0.63,38.21364250279888
10,100,False,decay=0.99,20029,0.94,2.2954585617304564
10,100,False,decay=0.999,20000,0.8,9.591733185676375
10,100,False,decay=0.999,20001,0.76,25.749992868454893
10,100,False,decay=0.999,20002,0.8,15.099055553641696
10,100,False,decay=0.999,20003,0.63,21.395551509950817
10,100,False,decay=0.999,20004,0.64,17.02264069648738
10,100,False,decay=0.999,20005,0.89,11.410000989913176
10,100,False,decay=0.999,20006,0.79,7.17440677293561
10,100,False,decay=0.999,20007,0.92,6.712022011040163
10,100,False,decay=0.999,20008,0.89,7.151763013826848
10,100,False,decay=0.999,20009,0.85,5.523004530334926
10,100,False,decay=0.999,20010,0.87,8.977482372617352
10,100,False,decay=0.999,20011,0.52,35.446139830263775
10,100,False,decay=0.999,20012,0.59,39.01362567298609
10,100,False,decay=0.999,20013,0.41,32.83445975212158
10,100,False,decay=0.999,20014,0.86,11.166654442985624
10,100,False,decay=0.999,20015,0.76,16.326886634979783
10,100,False,decay=0.999,20016,0.84,13.688393254840983
10,100,False,decay=0.999,20017,0.79,18.456897680526783
10,100,False,decay=0.999,20018,0.71,17.492108823594698
10,100,False,decay=0.999,20019,0.72,12.862619017286288
10,100,False,decay=0.999,20020,0.86,4.45833720292768
10,100,False,decay=0.999,20021,0.82,9.36080566023979
10,100,False,decay=0.999,20022,0.74,6.13042214766287
10,100,False,decay=0.999,20023,0.84,7.032060030602195
10,100,False,decay=0.999,20024,0.87,6.082643980065194
10,100,False,decay=0.999,20025,0.69,6.762655642480199
10,100,False,decay=0.999,20026,0.79,13.675144687555772
10,100,False,decay=0.999,20027,0.35,12.807524133627545
10,100,False,decay=0.999,20028,0.71,28.96227148408375
10,100,False,decay=0.999,20029,0.92,6.935345199970619
10,100,False,decay=0.9999,20000,0.8,9.591733185676375
10,100,False,decay=0.9999,20001,0.76,25.88867133646554
10,100,False,decay=0.9999,20002,0.8,15.099055553641696
10,100,False,decay=0.9999,20003,0.63,21.395551509950817
10,100,False,decay=0.9999,20004,0.64,17.02264069648738
10,100,False,decay=0.9999,20005,0.89,11.410000989913176
10,100,False,decay=0.9999,20006,0.79,7.17440677293561
10,100,False,decay=0.9999,20007,0.92,4.253374949327226
10,100,False,decay=0.9999,20008,0.89,7.151763013826848
10,100,False,decay=0.9999,20009,0.85,5.523004530334926
10,100,False,decay=0.9999,20010,0.87,8.977482372617352
10,100,False,decay=0.9999,20011,0.51,36.22787029505378
10,100,False,decay=0.9999,20012,0.48,44.735359826508386
10,100,False,decay=0.9999,20013,0.41,32.83445975212158
10,100,False,decay=0.9999,20014,0.86,11.166654442985624
