suite,algorithm,environment_seed,final_avg_reward,total_regret
rare-good,"thompson Beta(5,5)",30001,0.6255,352.06804195742467
rare-good,"thompson Beta(5,5)",30002,0.687,254.01122668810092
rare-good,"thompson Beta(5,5)",30003,0.648,307.59634885541413
rare-good,"thompson Beta(5,5)",30004,0.633,351.9347158761096
rare-good,"thompson Beta(5,5)",30005,0.621,363.89102608273436
rare-good,"thompson Beta(5,5)",30006,0.597,389.18532497354175
rare-good,"thompson Beta(5,5)",30007,0.6265,356.31229746940045
rare-good,"thompson Beta(5,5)",30008,0.6495,295.5696868669195
rare-good,"thompson Beta(5,5)",30009,0.6165,374.87295920137484
rare-good,"thompson Beta(5,5)",30010,0.6445,299.73719530595935
