n_arms,n_steps,algorithm,environment_seed,final_avg_reward,total_regret
100,100,epsgreedy const,20015,0.75,23.758135571107438
100,100,epsgreedy const,20016,0.76,24.156184031716897
100,100,epsgreedy const,20017,0.85,15.701469227645614
100,100,epsgreedy const,20018,0.8,18.814754696465247
100,100,epsgreedy const,20019,0.42,50.416987347875306
100,100,epsgreedy const,20020,0.77,22.72945253478451
100,100,epsgreedy const,20021,0.86,11.272687386448407
100,100,epsgreedy const,20022,0.82,21.022803691149115
100,100,epsgreedy const,20023,0.65,27.23900801084027
100,100,epsgreedy const,20024,0.43,55.43633847862381
100,100,epsgreedy const,20025,0.87,17.35754835497689
100,100,epsgreedy const,20026,0.65,31.477562369660035
100,100,epsgreedy const,20027,0.58,38.44644649818116
100,100,epsgreedy const,20028,0.84,13.986400622567492
100,100,epsgreedy const,20029,0.87,10.585719104330192
100,100,epsgreedy optimistic decay=0.90,20000,0.54,41.26530290617643
100,100,epsgreedy optimistic decay=0.90,20001,0.62,43.50119548322501
100,100,epsgreedy optimistic decay=0.90,20002,0.57,44.496539386545564
100,100,epsgreedy optimistic decay=0.90,20003,0.49,51.186753929225
100,100,epsgreedy optimistic decay=0.90,20004,0.5,46.92890333748316
100,100,epsgreedy optimistic decay=0.90,20005,0.48,44.58380227453776
100,100,epsgreedy optimistic decay=0.90,20006,0.56,43.579658126238755
100,100,epsgreedy optimistic decay=0.90,20007,0.53,41.63288148702029
100,100,epsgreedy optimistic decay=0.90,20008,0.57,42.75397377485259
100,100,epsgreedy optimistic decay=0.90,20009,0.6,40.93923476256559
100,100,epsgreedy optimistic decay=0.90,20010,0.51,45.324769504189
100,100,epsgreedy optimistic decay=0.90,20011,0.46,49.67270200384496
100,100,epsgreedy optimistic decay=0.90,20012,0.47,46.92868081815366
100,100,epsgreedy optimistic decay=0.90,20013,0.49,44.46732491684707
100,100,epsgreedy optimistic decay=0.90,20014,0.56,41.753230051736445
100,100,epsgreedy optimistic decay=0.90,20015,0.65,40.4795519615289
100,100,epsgreedy optimistic decay=0.90,20016,0.56,45.106897721463
100,100,epsgreedy optimistic decay=0.90,20017,0.54,43.34362678685115
100,100,epsgreedy optimistic decay=0.90,20018,0.57,42.57131283678368
100,100,epsgreedy optimistic decay=0.90,20019,0.56,40.05891095230012
100,100,epsgreedy optimistic decay=0.90,20020,0.59,42.809794726844295
